YearMonth,Description,Revenue
2009-12,DOTCOM POSTAGE,18574.58
2009-12,WHITE HANGING HEART T-LIGHT HOLDER,17357.600000000002
2009-12,PAPER CHAIN KIT 50'S CHRISTMAS ,10175.26
2009-12,EDWARDIAN PARASOL BLACK,8739.4
2009-12,SCOTTIE DOG HOT WATER BOTTLE,8129.76
2009-12,ASSORTED COLOUR BIRD ORNAMENT,7623.93
2009-12,JUMBO BAG RED WHITE SPOTTY ,6701.5
2009-12,HOT WATER BOTTLE TEA AND SYMPATHY,6425.3
2009-12, WHITE CHERRY LIGHTS,6408.42
2009-12,EDWARDIAN PARASOL RED,6205.2
2009-12,RED/WHITE DOTS RUFFLED UMBRELLA,6096.95
2009-12,EDWARDIAN PARASOL NATURAL,5992.95
2009-12,BLACK/BLUE DOTS RUFFLED UMBRELLA,5386.6
2009-12,CHOCOLATE HOT WATER BOTTLE,5370.2
2009-12,FAIRY CAKE CANDLES,5077.14
2009-12,PINK CHERRY LIGHTS,4956.56
2009-12,RETRO SPOT CAKE STAND,4860.3
2009-12,RED SPOT HEART HOT WATER BOTTLE,4817.6
2009-12,TEA TIME CAKE STAND IN GIFT BOX,4647.2
2009-12,PINK/BROWN DOTS RUFFLED UMBRELLA,4422.8
2009-12,STRAWBERRY CERAMIC TRINKET BOX,4355.33
2009-12,ROTATING SILVER ANGELS T-LIGHT HLDR,4354.73
2009-12,RED WOOLLY HOTTIE WHITE HEART.,3993.57
2009-12,RETRO SPOT TEA SET CERAMIC 11 PC ,3852.54
2009-12,KNITTED UNION FLAG HOT WATER BOTTLE,3757.43
2009-12,RED SPOTTY COIR DOORMAT,3590.42
2009-12,WHITE SKULL HOT WATER BOTTLE ,3317.08
2009-12,BAKING SET 9 PIECE RETROSPOT ,3273.12
2009-12,PAPER CHAIN KIT RETRO SPOT,3211.6000000000004
2009-12,ANTIQUE SILVER TEA GLASS ETCHED,3068.52
2009-12,CREAM HEART CARD HOLDER,3015.36
2009-12,POSTAGE,2924.95
2009-12,CERAMIC CAKE STAND + HANGING CAKES,2910.95
2009-12,RED HANGING HEART T-LIGHT HOLDER,2899.28
2009-12,RED SPOTTY ROUND CAKE TINS,2771.25
2009-12,RETRO SPOT TRADITIONAL TEAPOT ,2760.75
2009-12,COLOUR GLASS. STAR T-LIGHT HOLDER,2696.6
2009-12,HOME BUILDING BLOCK WORD,2644.27
2009-12,UNION JACK HOT WATER BOTTLE ,2631.9
2009-12,PLEASE ONE PERSON  METAL SIGN,2619.0000000000005
2009-12,DOOR MAT FAIRY CAKE,2612.0
2009-12,PACK OF 72 RETRO SPOT CAKE CASES,2568.35
2009-12,DOOR MAT NEW ENGLAND,2537.47
2009-12,RED TOADSTOOL LED NIGHT LIGHT,2472.15
2009-12,EDWARDIAN PARASOL PINK,2427.55
2009-12,CHICK GREY HOT WATER BOTTLE,2425.23
2009-12,JUMBO  BAG BAROQUE BLACK WHITE,2416.4
2009-12,BLACK RECORD COVER FRAME,2381.41
2009-12,PINK 3 PIECE MINI DOTS CUTLERY SET,2380.55
2009-12,GREY HEART HOT WATER BOTTLE,2351.4
2010-01,Manual,15621.170000000002
2010-01,WHITE HANGING HEART T-LIGHT HOLDER,14706.69
2010-01,DOTCOM POSTAGE,11340.51
2010-01,KENSINGTON COFFEE SET,10248.6
2010-01,Adjustment by john on 26/01/2010 17,6563.5
2010-01,JUMBO BAG RED WHITE SPOTTY ,6288.81
2010-01,DOOR MAT UNION FLAG,4911.96
2010-01,EDWARDIAN PARASOL RED,4607.39
2010-01,RETRO SPOT CAKE STAND,4553.53
2010-01,EDWARDIAN PARASOL BLACK,4490.53
2010-01,RED HANGING HEART T-LIGHT HOLDER,3907.6400000000003
2010-01,RED SPOTTY COIR DOORMAT,3275.42
2010-01,RED WOOLLY HOTTIE WHITE HEART.,3255.5200000000004
2010-01,SET/5 RED SPOTTY LID GLASS BOWLS,3196.84
2010-01,TEA TIME CAKE STAND IN GIFT BOX,3181.27
2010-01,PINK HEART SHAPE EGG FRYING PAN,2885.68
2010-01, WHITE CHERRY LIGHTS,2800.17
2010-01,EDWARDIAN PARASOL NATURAL,2771.56
2010-01,POLKADOT CUTLERY 24 PCS IN TRAY,2754.28
2010-01,POSTAGE,2690.0
2010-01,ASSORTED COLOUR BIRD ORNAMENT,2634.61
2010-01,STRAWBERRY CERAMIC TRINKET BOX,2539.7
